序号,编码,词条,分类,候选排序
1,"agys","黯","单字码表","15055"
2,"akgk","奡","单字码表","15037"
3,"albr","哎","单字码表","15033"
4,"asys","暗","单字码表","15013"
5,"bam","邶","单字码表","10388"
6,"bbjm","荸","单字码表","10373"
7,"bbjz","苯","单字码表","10372"
8,"bbpg","萹","单字码表","10364"
9,"bbrr","驳","单字码表","10362"
10,"bccv","波","单字码表","10353"
11,"bcjc","渤","单字码表","10350"
12,"bcmt","妣","单字码表","10348"
13,"bdtn","胞","单字码表","10332"
14,"bf","卜","单字码表","10326"
15,"bfks","佰","单字码表","10319"
16,"bfwz","伯","单字码表","10313"
17,"bfyl","倍","单字码表","10312"
18,"bhgx","帮","单字码表","10294"
19,"bhtv","表","单字码表","10286"
20,"bhyh","斑","单字码表","10285"
21,"bipv","憋","单字码表","10275"
22,"bjjv","鞆","单字码表","10261"
23,"bjm","邴","单字码表","10259"
24,"bkbc","礴","单字码表","10249"
25,"bkgx","布","单字码表","10247"
26,"bktx","甭","单字码表","10238"
27,"bkyy","磅","单字码表","10234"
28,"blgd","蹦","单字码表","10230"
29,"bljd","霸","单字码表","10227"
30,"blm","鄙","单字码表","10224"
31,"blmj","跸","单字码表","10221"
32,"bpgx","扁","单字码表","10177"
33,"bpyy","谤","单字码表","10170"
34,"bqjz","笨","单字码表","10161"
35,"bsjc","暴","单字码表","10144"
36,"bt","匕","单字码表","10142"
37,"btkv","鲅","单字码表","10135"
38,"btmv","狴","单字码表","10134"
39,"bttn","飑","单字码表","10127"
40,"bttn","饱","单字码表","10129"
41,"bumb","把","单字码表","10114"
42,"bwkv","魃","单字码表","10094"
43,"bxkv","杯","单字码表","10079"
44,"bxyy","榜","单字码表","10072"
45,"byby","辫","单字码表","10071"
46,"byey","瓣","单字码表","10068"
47,"byv","卞","单字码表","10050"
48,"bywf","瘪","单字码表","10049"
49,"bzgf","钡","单字码表","10045"
50,"bzkv","钚","单字码表","10039"
51,"bzpv","铋","单字码表","10034"
52,"cagt","觇","单字码表","10657"
53,"cbfx","茶","单字码表","10643"
54,"cbmb","纯","单字码表","10636"
55,"cbnm","骣","单字码表","10633"
56,"cbth","蔡","单字码表","10628"
57,"cbyg","缠","单字码表","10621"
58,"cbyt","茺","单字码表","10618"
59,"ccmg","媸","单字码表","10602"
60,"ccyl","淳","单字码表","10591"
61,"cdfv","脞","单字码表","10587"
62,"cefg","徜","单字码表","10579"
63,"cfhv","传","单字码表","10557"
64,"cflg","常","单字码表","10555"
65,"cfly","裳","单字码表","10554"
66,"cfpj","储","单字码表","10550"
67,"cfqv","敞","单字码表","10548"
68,"cfyv","裳","单字码表","10540"
69,"cghj","畴","单字码表","10530"
70,"cgjc","财","单字码表","10525"
71,"cgtt","巉","单字码表","10516"
72,"cgyg","螭","单字码表","10509"
73,"cipv","慈","单字码表","10481"
74,"cjc","勅","单字码表","10474"
75,"cjs","曹","单字码表","10464"
76,"cjyl","醇","单字码表","10460"
77,"ckhv","残","单字码表","10454"
78,"ckmx","砗","单字码表","10446"
79,"ckzj","厨","单字码表","10440"
80,"clat","呲","单字码表","10438"
81,"clgk","喘","单字码表","10433"
82,"clis","蹭","单字码表","10428"
83,"cljv","吋","单字码表","10423"
84,"clnv","呎","单字码表","10420"
85,"clt","叱","单字码表","10412"
86,"cmfh","除","单字码表","10404"
87,"cmgv","虿","单字码表","10403"
88,"cmgx","臣","单字码表","10401"
89,"cmm","邨","单字码表","10399"
90,"cmqz","陲","单字码表","10396"
91,"cmz","丞","单字码表","10390"
92,"cogx","窜","单字码表","10378"
93,"cotv","惆","单字码表","10366"
94,"cowt","窗","单字码表","10362"
95,"coxv","怵","单字码表","10360"
96,"cpnl","词","单字码表","10348"
97,"cqjv","策","单字码表","10334"
98,"cqyj","辞","单字码表","10323"
99,"ctfy","雏","单字码表","10307"
100,"cths","","单字码表","10303"
101,"ctnz","刍","单字码表","10301"
102,"ctss","猖","单字码表","10298"
103,"ctxs","馇","单字码表","10292"
104,"cubz","闯","单字码表","10287"
105,"cudc","抄","单字码表","10286"
106,"cufu","撑","单字码表","10283"
107,"cuqg","攒","单字码表","10271"
108,"cuqz","插","单字码表","10270"
109,"cusj","撮","单字码表","10267"
110,"cuto","搀","单字码表","10265"
111,"cuyq","撤","单字码表","10259"
112,"cvcc","场","单字码表","10257"
113,"cxjs","楮","单字码表","10227"
114,"cxvv","柽","单字码表","10216"
115,"cygx","冲","单字码表","10204"
116,"cyql","痴","单字码表","10194"
117,"czgc","锄","单字码表","10185"
118,"czjs","错","单字码表","10184"
119,"czqz","锤","单字码表","10179"
120,"dagz","督","单字码表","10576"
121,"dbqz","董","单字码表","10569"
122,"dbv","芏","单字码表","10565"
123,"dbwt","缎","单字码表","10562"
124,"dbyg","缔","单字码表","10559"
125,"dcm","凼","单字码表","10552"
126,"dcqm","沲","单字码表","10547"
127,"dcyg","嫡","单字码表","10540"
128,"ddgz","胴","单字码表","10538"
129,"deqv","瓞","单字码表","10526"
130,"desh","得","单字码表","10525"
131,"dfgf","贷","单字码表","10523"
132,"dfgz","侗","单字码表","10519"
133,"dfhc","傣","单字码表","10518"
134,"dflt","党","单字码表","10516"
135,"dftv","低","单字码表","10511"
136,"dfyv","袋","单字码表","10509"
137,"dgj","盯","单字码表","10503"
138,"dgjs","赌","单字码表","10499"
139,"dgmb","盹","单字码表","10496"
140,"dgtv","骶","单字码表","10489"
141,"dgvz","瞪","单字码表","10488"
142,"digx","单","单字码表","10475"
143,"dinc","弟","单字码表","10469"
144,"dipv","递","单字码表","10467"
145,"ditv","羝","单字码表","10465"
146,"dj","丁","单字码表","10463"
147,"djgx","带","单字码表","10459"
148,"djj","耵","单字码表","10457"
149,"djkg","顶","单字码表","10454"
150,"dkcc","砀","单字码表","10448"
151,"dkfy","碓","单字码表","10447"
152,"dkgz","硐","单字码表","10445"
153,"dktv","碉","单字码表","10437"
154,"dlgx","吊","单字码表","10426"
155,"dljx","蹀","单字码表","10419"
156,"dlmb","吨","单字码表","10416"
157,"dlqv","跌","单字码表","10412"
158,"dltx","跺","单字码表","10406"
159,"dlvz","蹬","单字码表","10402"
160,"dn","刁","单字码表","10382"
161,"dojv","定","单字码表","10370"
162,"dqbz","笃","单字码表","10350"
163,"dqqv","敌","单字码表","10339"
164,"dqsz","笪","单字码表","10337"
165,"drtt","爹","单字码表","10327"
166,"dtfy","雕","单字码表","10322"
167,"dtjx","鲽","单字码表","10317"
168,"dttv","鲷","单字码表","10312"
169,"dubf","搭","单字码表","10306"
170,"dutv","抵","单字码表","10295"
171,"dvfy","堆","单字码表","10289"
172,"dvgz","叠","单字码表","10288"
173,"dvjv","对","单字码表","10285"
174,"dvpv","怠","单字码表","10278"
175,"dvpv","怼","单字码表","10276"
176,"dvsj","堤","单字码表","10275"
177,"dvzl","登","单字码表","10270"
178,"dwjx","牒","单字码表","10268"
179,"dwt","兜","单字码表","10266"
180,"dwtv","段","单字码表","10264"
181,"dyqv","敦","单字码表","10243"
182,"dysz","疸","单字码表","10242"
183,"dytv","底","单字码表","10241"
184,"dzfn","铛","单字码表","10237"
185,"dzli","豆","单字码表","10233"
186,"dzoj","锭","单字码表","10231"
187,"dzqv","铥","单字码表","10228"
188,"egqv","蛾","单字码表","15571"
189,"ehjz","珥","单字码表","15568"
190,"ejll","噩","单字码表","15566"
191,"fbaa","菲","单字码表","12571"
192,"fbcb","范","单字码表","12569"
193,"fbfj","苻","单字码表","12566"
194,"fbrc","纷","单字码表","12556"
195,"fbyc","纺","单字码表","12549"
196,"fcdm","淝","单字码表","12548"
197,"fcv","飞","单字码表","12537"
198,"fcvv","法","单字码表","12535"
199,"fcyc","妨","单字码表","12534"
200,"fdmb","肥","单字码表","12528"
201,"feyc","舫","单字码表","12519"
202,"ffhh","俸","单字码表","12518"
203,"fgev","贩","单字码表","12503"
204,"fgth","峰","单字码表","12491"
205,"fgzl","幅","单字码表","12489"
206,"flaa","啡","单字码表","12459"
207,"flfj","跗","单字码表","12456"
208,"flhh","唪","单字码表","12455"
209,"flhv","呋","单字码表","12454"
210,"fmfj","附","单字码表","12447"
211,"fmzl","辐","单字码表","12444"
212,"fozl","富","单字码表","12436"
213,"fpaa","诽","单字码表","12435"
214,"fpyc","房","单字码表","12429"
215,"fpyc","访","单字码表","12428"
216,"frm","郛","单字码表","12408"
217,"ftgf","负","单字码表","12395"
218,"ftjg","鲼","单字码表","12393"
219,"ftv","凤","单字码表","12385"
220,"ftzl","匐","单字码表","12383"
221,"gbjz","绀","单字码表","11547"
222,"gcjl","姑","单字码表","11529"
223,"gcs","旮","单字码表","11520"
224,"gctv","沟","单字码表","11519"
225,"gcyr","滚","单字码表","11518"
226,"gdjz","肛","单字码表","11509"
227,"gfcl","伽","单字码表","11500"
228,"gfqb","仡","单字码表","11496"
229,"gggh","帼","单字码表","11487"
230,"gggh","蝈","单字码表","11486"
231,"ggjl","固","单字码表","11480"
232,"ggjl","罟","单字码表","11479"
233,"ggs","刿","单字码表","11472"
234,"ggtl","岣","单字码表","11471"
235,"ggtv","购","单字码表","11469"
236,"ggyf","赅","单字码表","11466"
237,"ghgt","规","单字码表","11464"
238,"ghpv","遘","单字码表","11458"
239,"gjc","汞","单字码表","11444"
240,"gjfv","恭","单字码表","11443"
241,"gjgx","革","单字码表","11441"
242,"gjjl","酤","单字码表","11436"
243,"gjjv","鼓","单字码表","11435"
244,"gjqv","故","单字码表","11429"
245,"gjtv","巩","单字码表","11427"
246,"gjtv","毂","单字码表","11425"
247,"gjyj","辜","单字码表","11421"
248,"gjz","甘","单字码表","11420"
249,"gktl","硌","单字码表","11411"
250,"glft","咣","单字码表","11406"
251,"glnv","哏","单字码表","11400"
252,"glzl","嗝","单字码表","11397"
253,"gnqv","敢","单字码表","11384"
254,"gpyf","该","单字码表","11363"
255,"gqbl","罐","单字码表","11361"
256,"gqhx","竿","单字码表","11358"
257,"gqng","簋","单字码表","11351"
258,"gqtz","鸹","单字码表","11345"
259,"gqyl","稿","单字码表","11341"
260,"grat","虢","单字码表","11340"
261,"gtjv","鲠","单字码表","11326"
262,"gugr","","单字码表","11312"
263,"guvv","挂","单字码表","11304"
264,"gxgr","","单字码表","11280"
265,"gxjz","杠","单字码表","11275"
266,"gxql","梏","单字码表","11266"
267,"gxsm","棍","单字码表","11265"
268,"gxtl","格","单字码表","11264"
269,"gxyl","槁","单字码表","11259"
270,"gyjz","疳","单字码表","11250"
271,"gynv","庚","单字码表","11247"
272,"gzlg","锅","单字码表","11238"
273,"gztv","钩","单字码表","11232"
274,"gzyl","镐","单字码表","11231"
275,"gzzl","镉","单字码表","11229"
276,"hbck","薅","单字码表","11398"
277,"hbet","蘅","单字码表","11395"
278,"hbfh","绘","单字码表","11394"
279,"hbft","花","单字码表","11391"
280,"hbfy","萑","单字码表","11390"
281,"hbgl","茴","单字码表","11386"
282,"hbjj","蕻","单字码表","11382"
283,"hbjz","红","单字码表","11380"
284,"hbmx","荤","单字码表","11377"
285,"hcgd","滑","单字码表","11365"
286,"hcgk","溷","单字码表","11362"
287,"hcgl","嬛","单字码表","11360"
288,"hcgp","漶","单字码表","11359"
289,"hcmz","好","单字码表","11350"
290,"hcnv","泓","单字码表","11349"
291,"hcpm","浑","单字码表","11346"
292,"hcql","活","单字码表","11342"
293,"hcsm","混","单字码表","11340"
294,"hcwh","湟","单字码表","11335"
295,"hcyk","濠","单字码表","11334"
296,"hcym","漷","单字码表","11333"
297,"hebt","後","单字码表","11328"
298,"henv","很","单字码表","11323"
299,"heth","衡","单字码表","11321"
300,"hfhv","会","单字码表","11314"
301,"hfkg","颌","单字码表","11311"
302,"hfnq","候","单字码表","11305"
303,"hggl","蛔","单字码表","11298"
304,"hgjz","虹","单字码表","11292"
305,"hgkv","睳","单字码表","11289"
306,"hijd","煳","单字码表","11254"
307,"hijd","糊","单字码表","11255"
308,"hikv","豢","单字码表","11251"
309,"hjjz","酣","单字码表","11239"
310,"hjpv","惠","单字码表","11235"
311,"hjst","鞨","单字码表","11234"
312,"hjtv","觳","单字码表","11232"
313,"hlby","嚆","单字码表","11216"
314,"hlcq","嗨","单字码表","11215"
315,"hllf","嚯","单字码表","11205"
316,"hlun","","单字码表","11195"
317,"hlyl","哼","单字码表","11191"
318,"hlzl","呵","单字码表","11189"
319,"hmlz","或","单字码表","11187"
320,"hmwh","隍","单字码表","11181"
321,"hoft","恍","单字码表","11174"
322,"hokv","宏","单字码表","11167"
323,"hotg","鲎","单字码表","11158"
324,"hphx","罕","单字码表","11149"
325,"hphx","袆","单字码表","11147"
326,"hpjz","讧","单字码表","11145"
327,"hpst","褐","单字码表","11137"
328,"htbl","獾","单字码表","11108"
329,"htjd","猢","单字码表","11100"
330,"htwh","凰","单字码表","11091"
331,"hunq","撖","单字码表","11083"
332,"hvgz","盍","单字码表","11074"
333,"hxzs","桓","单字码表","11050"
334,"hyqb","麾","单字码表","11037"
335,"jbcj","茳","单字码表","9436"
336,"jbcv","级","单字码表","9435"
337,"jbgq","菌","单字码表","9431"
338,"jbgz","畿","单字码表","9428"
339,"jbiv","缣","单字码表","9422"
340,"jbjs","缙","单字码表","9420"
341,"jbjv","芰","单字码表","9419"
342,"jblj","缉","单字码表","9414"
343,"jblj","蕺","单字码表","9413"
344,"jbm","纠","单字码表","9409"
345,"jbnb","纪","单字码表","9407"
346,"jbs","剿","单字码表","9400"
347,"jbt","艽","单字码表","9398"
348,"jbtm","绝","单字码表","9395"
349,"jbtv","级","单字码表","9392"
350,"jbvj","茎","单字码表","9390"
351,"jbwq","缴","单字码表","9387"
352,"jbyh","警","单字码表","9386"
353,"jbyr","茭","单字码表","9383"
354,"jbzg","缰","单字码表","9380"
355,"jcbz","驾","单字码表","9378"
356,"jcgz","姐","单字码表","9374"
357,"jcjz","江","单字码表","9366"
358,"jcld","娟","单字码表","9362"
359,"jcmk","浇","单字码表","9357"
360,"jcqw","娇","单字码表","9350"
361,"jctv","汲","单字码表","9348"
362,"jcwq","激","单字码表","9343"
363,"jewq","徼","单字码表","9318"
364,"jffo","僬","单字码表","9312"
365,"jfjs","借","单字码表","9307"
366,"jfmk","侥","单字码表","9305"
367,"jfms","僭","单字码表","9304"
368,"jfnv","健","单字码表","9300"
369,"jfqx","件","单字码表","9297"
370,"jfqx","牮","单字码表","9296"
371,"jfyk","僦","单字码表","9286"
372,"jfyr","佼","单字码表","9285"
373,"jfzg","僵","单字码表","9284"
374,"jgfw","界","单字码表","9281"
375,"jgfw","骱","单字码表","9279"
376,"jgfy","雎","单字码表","9278"
377,"jgjb","羁","单字码表","9273"
378,"jgx","巾","单字码表","9254"
379,"jhpv","进","单字码表","9242"
380,"jht","玑","单字码表","9240"
381,"jhtn","静","单字码表","9239"
382,"jhx","井","单字码表","9235"
383,"jinl","焗","单字码表","9224"
384,"jirg","爝","单字码表","9220"
385,"jirn","爝","单字码表","9219"
386,"jist","羯","单字码表","9218"
387,"jjgf","贾","单字码表","9207"
388,"jjjl","兢","单字码表","9202"
389,"jjm","鄄","单字码表","9196"
390,"jjmv","戟","单字码表","9195"
391,"jjqv","救","单字码表","9190"
392,"jjqv","教","单字码表","9191"
393,"jjv","柬","单字码表","9185"
394,"jkfo","硷","单字码表","9182"
395,"jkmz","殛","单字码表","9175"
396,"jks","劂","单字码表","9170"
397,"jljl","咭","单字码表","9158"
398,"jlki","噘","单字码表","9155"
399,"jlrn","嚼","单字码表","9142"
400,"jlyw","哜","单字码表","9133"
401,"jlyw","跻","单字码表","9132"
402,"jmb","卺","单字码表","9130"
403,"jmyr","较","单字码表","9118"
404,"jmz","孑","单字码表","9116"
405,"jnm","郡","单字码表","9107"
406,"jnqx","犟","单字码表","9103"
407,"jnzg","疆","单字码表","9098"
408,"jpfp","衿","单字码表","9073"
409,"jphx","讲","单字码表","9071"
410,"jpmn","讵","单字码表","9063"
411,"jqdc","筋","单字码表","9052"
412,"jqgr","稷","单字码表","9050"
413,"jqnv","毽","单字码表","9035"
414,"jsgz","监","单字码表","9026"
415,"jtcq","解","单字码表","9018"
416,"jtgz","狙","单字码表","9016"
417,"jtl","咎","单字码表","9007"
418,"jtt","饥","单字码表","8999"
419,"jtv","及","单字码表","8996"
420,"jtyl","猄","单字码表","8992"
421,"jtyr","狡","单字码表","8991"
422,"jtyr","鲛","单字码表","8989"
423,"jtyt","獍","单字码表","8988"
424,"jumv","拣","单字码表","8976"
425,"juqw","挢","单字码表","8968"
426,"jutl","拘","单字码表","8963"
427,"jvc","劫","单字码表","8959"
428,"jvnv","艰","单字码表","8952"
429,"jvyt","境","单字码表","8945"
430,"jxcv","极","单字码表","8937"
431,"jxfo","检","单字码表","8936"
432,"jxjg","槿","单字码表","8933"
433,"jxjl","桔","单字码表","8932"
434,"jxnv","楗","单字码表","8926"
435,"jxtv","极","单字码表","8919"
436,"jyjz","酱","单字码表","8908"
437,"jykv","就","单字码表","8906"
438,"jyld","京","单字码表","8904"
439,"jym","疖","单字码表","8901"
440,"jynv","决","单字码表","8898"
441,"jyqv","疾","单字码表","8895"
442,"jyt","麂","单字码表","8889"
443,"jytj","将","单字码表","8888"
444,"jyyd","瘠","单字码表","8881"
445,"jzfc","镌","单字码表","8879"
446,"jzjz","豇","单字码表","8876"
447,"jzyt","镜","单字码表","8864"
448,"kbgg","蒉","单字码表","13444"
449,"kbmb","芤","单字码表","13438"
450,"kgzl","岢","单字码表","13394"
451,"kjgg","聩","单字码表","13378"
452,"kjsm","醌","单字码表","13369"
453,"kjt","壳","单字码表","13368"
454,"kktf","砍","单字码表","13361"
455,"klcl","咖","单字码表","13353"
456,"klkv","哭","单字码表","13349"
457,"kogx","悃","单字码表","13323"
458,"kojz","空","单字码表","13319"
459,"konm","慨","单字码表","13318"
460,"konv","快","单字码表","13316"
461,"kotl","客","单字码表","13312"
462,"kqyl","犒","单字码表","13290"
463,"ktfh","狯","单字码表","13284"
464,"kugx","捆","单字码表","13276"
465,"kuyc","扩","单字码表","13264"
466,"kuyt","抗","单字码表","13263"
467,"kuyt","闶","单字码表","13262"
468,"kzyt","钪","单字码表","13223"
469,"lb","〇","单字码表","11593"
470,"lbgb","缧","单字码表","11582"
471,"lbic","缕","单字码表","11579"
472,"lblg","蕾","单字码表","11574"
473,"lbpc","芦","单字码表","11568"
474,"lbpv","邋","单字码表","11564"
475,"lbsg","蓝","单字码表","11560"
476,"lbtg","骝","单字码表","11558"
477,"lbtl","络","单字码表","11556"
478,"lbtl","绺","单字码表","11555"
479,"lbvr","菱","单字码表","11552"
480,"lbx","蔾","单字码表","11550"
481,"lbyg","蓠","单字码表","11549"
482,"lcbc","涝","单字码表","11543"
483,"lcgb","嫘","单字码表","11537"
484,"lcgz","娌","单字码表","11534"
485,"lcgz","泪","单字码表","11536"
486,"lcgz","浬","单字码表","11533"
487,"lcjt","姥","单字码表","11530"
488,"lcks","洌","单字码表","11525"
489,"lcmc","泐","单字码表","11520"
490,"lcnj","漏","单字码表","11517"
491,"lctg","溜","单字码表","11513"
492,"ldc","肋","单字码表","11498"
493,"lfks","例","单字码表","11473"
494,"lfll","侣","单字码表","11471"
495,"lgbd","累","单字码表","11458"
496,"lgfp","岭","单字码表","11457"
497,"lgfp","蛉","单字码表","11455"
498,"lgic","嵝","单字码表","11452"
499,"lgic","髅","单字码表","11450"
500,"lgic","","单字码表","11449"
501,"lgit","嶙","单字码表","11448"
502,"lgjs","蜡","单字码表","11445"
503,"lgkv","眬","单字码表","11441"
504,"lglv","睐","单字码表","11439"
505,"lgtl","略","单字码表","11433"
506,"lhxx","琳","单字码表","11409"
507,"lhyg","璃","单字码表","11408"
508,"lipv","粮","单字码表","11394"
509,"ljbg","鬣","单字码表","11386"
510,"ljgz","醴","单字码表","11383"
511,"ljrj","酹","单字码表","11381"
512,"lkc","励","单字码表","11371"
513,"lknc","碌","单字码表","11358"
514,"lktv","砾","单字码表","11354"
515,"llbc","唠","单字码表","11346"
516,"llfp","零","单字码表","11341"
517,"llgz","雷","单字码表","11337"
518,"llkc","呖","单字码表","11332"
519,"llks","嘹","单字码表","11328"
520,"llks","蹽","单字码表","11327"
521,"lltl","路","单字码表","11318"
522,"llxx","霖","单字码表","11312"
523,"lmpv","辽","单字码表","11301"
524,"lmym","辘","单字码表","11295"
525,"lofp","怜","单字码表","11287"
526,"lomt","窿","单字码表","11281"
527,"loyh","懔","单字码表","11276"
528,"lpsg","褴","单字码表","11263"
529,"lqfc","黎","单字码表","11257"
530,"lqll","稆","单字码表","11250"
531,"lqnc","氯","单字码表","11249"
532,"ltgz","狸","单字码表","11226"
533,"ltgz","留","单字码表","11224"
534,"ltgz","鳢","单字码表","11223"
535,"ltpv","狼","单字码表","11216"
536,"lttg","馏","单字码表","11212"
537,"ltzg","鲡","单字码表","11207"
538,"luft","抡","单字码表","11203"
539,"luts","撸","单字码表","11188"
540,"lxfp","柃","单字码表","11169"
541,"lxgy","楞","单字码表","11166"
542,"lxjt","栳","单字码表","11162"
543,"lxpm","榔","单字码表","11153"
544,"lybj","率","单字码表","11138"
545,"lygv","离","单字码表","11130"
546,"lyjv","辣","单字码表","11123"
547,"lyks","冽","单字码表","11121"
548,"lymt","癃","单字码表","11114"
549,"lyqy","旒","单字码表","11107"
550,"lyyg","廪","单字码表","11095"
551,"lyz","銮","单字码表","11091"
552,"lzll","铝","单字码表","11079"
553,"lzm","钌","单字码表","11076"
554,"lzpv","锒","单字码表","11073"
555,"mahx","芈","单字码表","12593"
556,"mb","乜","单字码表","12592"
557,"mbdv","糸","单字码表","12587"
558,"mbgz","苗","单字码表","12580"
559,"mbhv","蒙","单字码表","12578"
560,"mbkv","茂","单字码表","12574"
561,"mbsg","蔓","单字码表","12563"
562,"mbtl","茗","单字码表","12560"
563,"mbtz","鹲","单字码表","12557"
564,"mbv","墓","单字码表","12554"
565,"mbyb","芒","单字码表","12549"
566,"mcbs","嫫","单字码表","12542"
567,"mchv","妹","单字码表","12536"
568,"mcmg","媚","单字码表","12529"
569,"mcpv","泌","单字码表","12525"
570,"mcs","汨","单字码表","12523"
571,"mcsg","漫","单字码表","12522"
572,"mctg","娩","单字码表","12521"
573,"mctl","洺","单字码表","12519"
574,"mcyt","嬷","单字码表","12515"
575,"mgbg","蠛","单字码表","12499"
576,"mgbj","瞒","单字码表","12497"
577,"mgmg","嵋","单字码表","12485"
578,"mgnb","眠","单字码表","12483"
579,"mgps","瞑","单字码表","12480"
580,"mgqb","眊","单字码表","12478"
581,"mgvq","蛑","单字码表","12472"
582,"mhgg","瑁","单字码表","12466"
583,"misg","熳","单字码表","12453"
584,"mjqb","耄","单字码表","12446"
585,"mjqb","酶","单字码表","12447"
586,"mkbh","礞","单字码表","12441"
587,"mkby","硭","单字码表","12440"
588,"mlbv","呣","单字码表","12432"
589,"mlbz","骂","单字码表","12431"
590,"mmc","勐","单字码表","12415"
591,"mmgz","孟","单字码表","12413"
592,"moyb","忙","单字码表","12393"
593,"mpsg","幂","单字码表","12385"
594,"mqgk","篾","单字码表","12377"
595,"mqpv","秘","单字码表","12375"
596,"mqqv","敏","单字码表","12373"
597,"mrbs","貘","单字码表","12366"
598,"msgz","盟","单字码表","12358"
599,"mtm","卯","单字码表","12345"
600,"mtmg","猛","单字码表","12344"
601,"mtmg","猸","单字码表","12343"
602,"mtsg","馒","单字码表","12341"
603,"mvgz","埋","单字码表","12324"
604,"mxtv","梦","单字码表","12309"
605,"mybd","縻","单字码表","12304"
606,"mygz","亩","单字码表","12299"
607,"mygz","盲","单字码表","12301"
608,"myiv","糜","单字码表","12298"
